column,dtype
Timestamp,str
BODY_MOMENTUM_HX,float64
BODY_MOMENTUM_HY,float64
BODY_MOMENTUM_HZ,float64
DELTA_MOMENTUM_YAW,float64
DELTA_MOMENTUM_ROL,float64
DELTA_MOMENTUM_PCH,float64
QOB-1,float64
QOB-2,float64
QOB-3,float64
QOB-4,float64
QIB-1,float64
QIB-2,float64
QIB-3,float64
QIB-4,float64
QREF-1,float64
QREF-2,float64
QREF-3,float64
QREF-4,float64
QSUNB-1,float64
QSUNB-2,float64
QSUNB-3,float64
QSUNB-4,float64
SKF_QIB-1,float64
SKF_QIB-2,float64
SKF_QIB-3,float64
SKF_QIB-4,float64
DYN_OBS_QIB-1,float64
DYN_OBS_QIB-2,float64
DYN_OBS_QIB-3,float64
DYN_OBS_QIB-4,float64
SKF_RES_QIB-1,float64
SKF_RES_QIB-2,float64
SKF_RES_QIB-3,float64
DER_RATE_YAW,float64
DER_RATE_ROL,float64
DER_RATE_PCH,float64
REF_RATE_YAW,float64
REF_RATE_ROL,float64
REF_RATE_PCH,float64
RES_RATE_YAW,float64
RES_RATE_ROL,float64
RES_RATE_PCH,float64
DYN_OBS_RATE_YAW,float64
DYN_OBS_RATE_ROL,float64
DYN_OBS_RATE_PCH,float64
RF_RATE_YAW,float64
RF_RATE_ROL,float64
RF_RATE_PCH,float64
MAG_BASED_RATE_YAW,float64
MAG_BASED_RATE_ROL,float64
MAG_BASED_RATE_PCH,float64
RF_RES_RATE_YAW,float64
RF_RES_RATE_ROL,float64
RF_RES_RATE_PCH,float64
MAG_EST_RATE_YAW,float64
MAG_EST_RATE_ROL,float64
MAG_EST_RATE_PCH,float64
SKF_DRIFT_YAW,float64
SKF_DRIFT_ROL,float64
SKF_DRIFT_PCH,float64
DF_DIST_TORQ_YAW,float64
DF_DIST_TORQ_ROL,float64
DF_DIST_TORQ_PCH,float64
RF_DIST_TORQ_YAW,float64
RF_DIST_TORQ_ROL,float64
RF_DIST_TORQ_PCH,float64
PROC_ERR_YAW,float64
PROC_ERR_ROL,float64
PROC_ERR_PCH,float64
PROC_ERR_RES_SEL,str
STEERING_BIAS_YAW,float64
STEERING_BIAS_PCH,float64
OM_FIRE_DUR,float64
OM_ROTN_DUR,float64
R-1_THR_HIST,float64
R-2_THR_HIST,float64
R-3_THR_HIST,float64
R-4_THR_HIST,float64
R-5_THR_HIST,float64
R-6_THR_HIST,float64
R-7_THR_HIST,float64
R-8_THR_HIST,float64
Y-1_THR_HIST,float64
Y-2_THR_HIST,float64
Y-3_THR_HIST,float64
Y-4_THR_HIST,float64
AUTO_FIRE_R1_STS,str
AUTO_FIRE_R2_STS,str
AUTO_FIRE_R3_STS,str
AUTO_FIRE_R4_STS,str
AUTO_FIRE_R5_STS,str
AUTO_FIRE_R6_STS,str
AUTO_FIRE_R7_STS,str
AUTO_FIRE_R8_STS,str
MANUAL_FIRE_R1_STS,str
MANUAL_FIRE_R2_STS,str
MANUAL_FIRE_R3_STS,str
MANUAL_FIRE_R4_STS,str
MANUAL_FIRE_R5_STS,str
MANUAL_FIRE_R6_STS,str
MANUAL_FIRE_R7_STS,str
MANUAL_FIRE_R8_STS,str
AUTO_FIRE_D1_STS,str
AUTO_FIRE_D2_STS,str
AUTO_FIRE_D3_STS,str
AUTO_FIRE_D4_STS,str
MANUAL_FIRE_D1_STS,str
MANUAL_FIRE_D2_STS,str
MANUAL_FIRE_D3_STS,str
MANUAL_FIRE_D4_STS,str
D-1_THR_HIST,float64
D-2_THR_HIST,float64
D-3_THR_HIST,float64
D-4_THR_HIST,float64
ORB_PERIOD_SEC,float64
ORB_TIMER_SEC,float64
DAMP_TORQ_YAW,float64
DAMP_TORQ_ROL,float64
DTG_COMP_ANG_YAW,float64
DTG_COMP_ANG_ROL,float64
DTG_COMP_ANG_PCH,float64
DTG-1_ROL_ACC_ANG,float64
DTG-1_PCH_ACC_ANG,float64
DTG-1_CMDD_DRC_ROL,float64
DTG-1_CMDD_DRC_PCH,float64
DTG-2_PCH_ACC_ANG,float64
DTG-2_YAW_ACC_ANG,float64
DTG-2_CMDD_DRC_PCH,float64
DTG-2_CMDD_DRC_YAW,float64
DTG-3_YAW_ACC_ANG,float64
DTG-3_ROL_ACC_ANG,float64
DTG-3_CMDD_DRC_YAW,float64
DTG-3_CMDD_DRC_ROL,float64
MAG_REF_FIELD_YAW,float64
MAG_REF_FIELD_ROL,float64
MAG_REF_FIELD_PCH,float64
PROC_SS_QIB-1,float64
PROC_SS_QIB-2,float64
PROC_SS_QIB-3,float64
PROC_SS_QIB-4,float64
SS_UPDT_CNT,float64
LINK_WDT_TIMER,float64
CMDD_NSC_SPD,float64
RW-1_SPD_AOCE,float64
RW-1_EST_SPD_AOCE,float64
RW-1_I/P_TORQ_AOCE,float64
RW-1_DFC_TORQ_AOCE,float64
RW-1_NSC_SPD,float64
RW-2_SPD_AOCE,float64
RW-2_EST_SPD_AOCE,float64
RW-2_I/P_TORQ_AOCE,float64
RW-2_DFC_TORQ_AOCE,float64
RW-2_NSC_SPD,float64
RW-3_SPD_AOCE,float64
RW-3_EST_SPD_AOCE,float64
RW-3_I/P_TORQ_AOCE,float64
RW-3_DFC_TORQ_AOCE,float64
RW-3_NSC_SPD,float64
RW-4_SPD_AOCE,float64
RW-4_EST_SPD_AOCE,float64
RW-4_I/P_TORQ_AOCE,float64
RW-4_DFC_TORQ_AOCE,float64
RW-4_NSC_SPD,float64
QIB-1_NS,float64
QIB-2_NS,float64
QIB-3_NS,float64
DER_RATE_YAW_NS,float64
DER_RATE_ROL_NS,float64
DER_RATE_PCH_NS,float64
PROC_ERR_YAW_NS,float64
PROC_ERR_ROL_NS,float64
PROC_ERR_PCH_NS,float64
PROC_ERR_RES_SEL_NS,str
PROC_SS_QIB-1_NS,float64
PROC_SS_QIB-2_NS,float64
PROC_SS_QIB-3_NS,float64
SS-1_UPDT_CNT_NS,float64
AOCE_MODE,str
CNTRL_REF_SEL,str
LAUNCH_PHASE_STS,str
LAUNCH_PHASE_OVER,str
SNAP-1_STS,str
SNAP-2_STS,str
DIRECT_ACQ_STS,object
DIRECT_ACQ_FLAG,object
AUTO_IAC_STS,str
AUTO_SEQ_EXE_STS,object
AUTO_SACQ,str
AUTO_YAW_ROL_SACQ,str
AUTO_SEQ_LOGIC_STS,str
AUTO_SEQ_STS,str
SKF_STS,object
DF_STS,object
PWPFM_SEL,str
YAW_PWPFM,str
ROL_PWPFM,str
PCH_PWPFM,str
LC_RATE,str
MD_INHIBIT_FLAG,object
DIST_TORQ_COMP_STS,str
SKF_DRIFT_UPD_STS,str
GYROCAL_FLAG,object
GYROCAL_SEL,str
GYROCAL_SEQ_STS,str
SACQ_USING_DTG_STS,str
SNSR_SEL_FOR_YAW,str
DRAG_COMP,object
SKF_DRIFT_ZERO_ON_MD_INH_STS,str
ARRAY_DAMP_STS,str
SPS_PROCESS_STS,str
ECL_STS,object
P-1_SUN_SEARCH_STS,str
P-2_SUN_SEARCH_STS,str
REMD_STS,object
RRD_STS,object
RRD_AXIS_SEL,str
RRD_THR_FIRE_DUR,float64
RRD_SEL_AXIS_RATE,float64
RRD_WNORM-1,float64
RRD_WNORM-2,float64
AUTO_DRAG_STS,str
REMD_BASED_RECOVERY,object
REMD_BASED_RATE_DUMP,object
RRD_RATE_DAMP_FLAG,object
RRD_FAIL_FLAG,str
THR_BLK_FOR_RRD_CMD_STS,str
SKF_AUTO_DRIFT_UPDT_STS,str
ROL_INC_ANG_SEL,str
PCH_INC_ANG_SEL,str
YAW_ERR_FROM_RATES_STS,str
SEL_BMU_LOOP,str
HW_SYS_ID,str
SYS_ID,str
SYS_SEL,str
SYS_SEL_STS,str
MINOR_CYCLE-1_OVRFLW_FLAG,str
MINOR_CYCLE-2_OVRFLW_FLAG,str
MINOR_CYCLE-3_OVRFLW_FLAG,str
MINOR_CYCLE-4_OVRFLW_FLAG,str
MINOR_CYCLE-5_OVRFLW_FLAG,str
MINOR_CYCLE-6_OVRFLW_FLAG,str
MINOR_CYCLE-7_OVRFLW_FLAG,str
MAJOR_CYCLE_OVRFLW_FLAG,str
CPU_RST_STS,str
MAJOR_CYCLE_CNTR,float64
YAW_STEER_STS,str
YAW_STEER_OPTION,str
PCH_STEER_STS,str
CPU_RST_POI_FLAG_STS,str
SYS_SEL_SW_IND,str
SEL_RTE_LOOP,str
SYS-1_PROG_SEL,str
SYS-2_PROG_SEL,str
SNS_EXE,object
SNS_LC_RATE,str
PLD_SEQ_EXE,object
STORAGE_ACTIVE,object
ANDED_SNAP_STS_OS,str
MAJ_VOTE_ANDED_SNAP_STS,object
SACQ_TORQ_GAIN_YAW,str
SACQ_TORQ_GAIN_ROL,str
SACQ_TORQ_GAIN_PCH,str
OM_LC_GAIN_YAW,str
OM_LC_GAIN_ROL,str
OM_LC_GAIN_PCH,str
OM_NF_GAIN_YAW,str
OM_NF_GAIN_ROL,str
OM_NF_GAIN_PCH,str
RF_GAIN_YAW,str
RF_GAIN_ROL,str
RF_GAIN_PCH,str
SKF_GAIN,str
DYN_OBS_GAIN,str
ARRAY_DAMP_GAIN,str
ARRAY_DAMP_NF_GAIN,str
LC_GAIN_YAW,str
LC_GAIN_ROL,str
LC_GAIN_PCH,str
THR_GAIN_YAW,str
THR_GAIN_ROL,str
THR_GAIN_PCH,str
OM_THR_GAIN_YAW,str
OM_THR_GAIN_ROL,str
OM_THR_GAIN_PCH,str
SACQ_WHL_TORQ_GAIN_YAW,str
SACQ_WHL_TORQ_GAIN_ROL,str
SACQ_WHL_TORQ_GAIN_PCH,str
YAW_ERR_ROL_RATE_LPF_COEFF_SET,str
YAW_ERR_PCH_RATE_LPF_COEFF_SET,str
DTG_LPF_HIGH_COEFF_SET,str
DTG_LPF_LOW_COEFF_SET,str
SV_COEFF_READY_FLAG,object
BP_INIT,object
SV_FOR_TM,str
SV_USAGE,str
GOODS_INIT,object
GOODS_KF_GAIN,str
BP_SEL,str
COL_TO_BP_STS,str
ORB_RATE_COMP_STS,str
AOL_FROM_ORB_MODEL,str
UPD_ORB_TIMER_BY_AOL,str
GOODS_UPDT_BP,str
BP_SV_VALIDATE_STS,str
SV_FOR_BDH,str
COL_ODP_STS,str
ODP_SV_VALDN,object
FDI_LOGIC_STS,str
FDI_CNTR,float64
FDI_CNTR_NS,float64
FDI_STS_SYS-1,str
