column,std
BODY_MOMENTUM_HX,0.0
BODY_MOMENTUM_HY,0.0
BODY_MOMENTUM_HZ,0.0
DELTA_MOMENTUM_YAW,0.0
DELTA_MOMENTUM_ROL,0.0
DELTA_MOMENTUM_PCH,0.0
QIB-1,0.0
QIB-2,0.0
QIB-3,0.0
QIB-4,2.2206681271674807e-16
QREF-1,0.0
QREF-2,0.0
QREF-3,0.0
QREF-4,1.1103342861401552e-16
QSUNB-1,0.0
QSUNB-2,0.0
QSUNB-3,0.0
QSUNB-4,2.2206685276887506e-16
SKF_QIB-1,0.0
SKF_QIB-2,0.0
SKF_QIB-3,0.0
SKF_QIB-4,1.1103341747505415e-16
DYN_OBS_QIB-1,0.0
DYN_OBS_QIB-2,0.0
DYN_OBS_QIB-3,0.0
DYN_OBS_QIB-4,1.1103343084448743e-16
SKF_RES_QIB-1,0.0
SKF_RES_QIB-2,0.0
SKF_RES_QIB-3,0.0
DER_RATE_YAW,0.0
DER_RATE_ROL,0.0
DER_RATE_PCH,0.0
REF_RATE_YAW,0.0
REF_RATE_ROL,0.0
REF_RATE_PCH,0.0
RES_RATE_YAW,0.0
RES_RATE_ROL,0.0
RES_RATE_PCH,0.0
DYN_OBS_RATE_YAW,0.0
DYN_OBS_RATE_ROL,0.0
DYN_OBS_RATE_PCH,0.0
RF_RATE_YAW,0.0
RF_RATE_ROL,0.0
RF_RATE_PCH,0.0
MAG_BASED_RATE_YAW,0.0
MAG_BASED_RATE_ROL,0.0
MAG_BASED_RATE_PCH,0.0
RF_RES_RATE_YAW,0.0
RF_RES_RATE_ROL,0.0
RF_RES_RATE_PCH,0.0
MAG_EST_RATE_YAW,0.0
MAG_EST_RATE_ROL,0.0
MAG_EST_RATE_PCH,0.0
SKF_DRIFT_YAW,0.0
SKF_DRIFT_ROL,0.0
SKF_DRIFT_PCH,0.0
DF_DIST_TORQ_YAW,0.0
DF_DIST_TORQ_ROL,0.0
DF_DIST_TORQ_PCH,0.0
RF_DIST_TORQ_YAW,0.0
RF_DIST_TORQ_ROL,0.0
RF_DIST_TORQ_PCH,0.0
PROC_ERR_YAW,0.0
PROC_ERR_ROL,0.0
PROC_ERR_PCH,0.0
STEERING_BIAS_YAW,0.0
STEERING_BIAS_PCH,0.0
OM_FIRE_DUR,0.0
OM_ROTN_DUR,0.0
R-1_THR_HIST,0.0
R-2_THR_HIST,0.0
R-3_THR_HIST,0.0
R-4_THR_HIST,0.0
R-5_THR_HIST,0.0
R-6_THR_HIST,0.0
R-7_THR_HIST,0.0
R-8_THR_HIST,0.0
Y-1_THR_HIST,0.0
Y-2_THR_HIST,0.0
Y-3_THR_HIST,0.0
Y-4_THR_HIST,0.0
D-1_THR_HIST,0.0
D-2_THR_HIST,0.0
D-3_THR_HIST,0.0
D-4_THR_HIST,0.0
ORB_PERIOD_SEC,1.819172428087603e-12
DAMP_TORQ_YAW,0.0
DAMP_TORQ_ROL,0.0
DTG_COMP_ANG_YAW,0.0
DTG_COMP_ANG_ROL,0.0
DTG_COMP_ANG_PCH,0.0
DTG-1_ROL_ACC_ANG,0.0
DTG-1_PCH_ACC_ANG,0.0
DTG-1_CMDD_DRC_ROL,0.0
DTG-1_CMDD_DRC_PCH,0.0
DTG-2_PCH_ACC_ANG,0.0
DTG-2_YAW_ACC_ANG,0.0
DTG-2_CMDD_DRC_PCH,0.0
DTG-2_CMDD_DRC_YAW,0.0
DTG-3_YAW_ACC_ANG,0.0
DTG-3_ROL_ACC_ANG,0.0
