column,missing_pct
BODY_MOMENTUM_HX,0.0036
BODY_MOMENTUM_HY,0.0036
BODY_MOMENTUM_HZ,0.0036
DELTA_MOMENTUM_YAW,0.0034
DELTA_MOMENTUM_ROL,0.0034
DELTA_MOMENTUM_PCH,0.0034
QOB-1,0.0002
QOB-2,0.0002
QOB-3,0.0002
QOB-4,0.0002
QIB-1,0.0
QIB-2,0.0
QIB-3,0.0
QIB-4,0.0
QREF-1,0.002
QREF-2,0.002
QREF-3,0.002
QREF-4,0.002
QSUNB-1,0.0018
QSUNB-2,0.0018
QSUNB-3,0.0018
QSUNB-4,0.0018
SKF_QIB-1,0.001
SKF_QIB-2,0.001
SKF_QIB-3,0.001
SKF_QIB-4,0.001
DYN_OBS_QIB-1,0.0022
DYN_OBS_QIB-2,0.0022
DYN_OBS_QIB-3,0.0022
DYN_OBS_QIB-4,0.0022
SKF_RES_QIB-1,0.0
SKF_RES_QIB-2,0.0
SKF_RES_QIB-3,0.0
DER_RATE_YAW,0.0002
DER_RATE_ROL,0.0002
DER_RATE_PCH,0.0002
REF_RATE_YAW,0.0026
REF_RATE_ROL,0.0026
REF_RATE_PCH,0.0026
RES_RATE_YAW,0.0002
RES_RATE_ROL,0.0002
RES_RATE_PCH,0.0002
DYN_OBS_RATE_YAW,0.0004
DYN_OBS_RATE_ROL,0.0004
DYN_OBS_RATE_PCH,0.0004
RF_RATE_YAW,0.0016
RF_RATE_ROL,0.0016
RF_RATE_PCH,0.0016
MAG_BASED_RATE_YAW,0.006
MAG_BASED_RATE_ROL,0.006
MAG_BASED_RATE_PCH,0.006
RF_RES_RATE_YAW,0.006
RF_RES_RATE_ROL,0.006
RF_RES_RATE_PCH,0.006
MAG_EST_RATE_YAW,0.0014
MAG_EST_RATE_ROL,0.0014
MAG_EST_RATE_PCH,0.0014
SKF_DRIFT_YAW,0.0012
SKF_DRIFT_ROL,0.0012
SKF_DRIFT_PCH,0.0012
DF_DIST_TORQ_YAW,0.0014
DF_DIST_TORQ_ROL,0.0014
DF_DIST_TORQ_PCH,0.0014
RF_DIST_TORQ_YAW,0.0018
RF_DIST_TORQ_ROL,0.0018
RF_DIST_TORQ_PCH,0.0018
PROC_ERR_YAW,0.0
PROC_ERR_ROL,0.0
PROC_ERR_PCH,0.0
PROC_ERR_RES_SEL,1.0
STEERING_BIAS_YAW,0.0024
STEERING_BIAS_PCH,0.0024
OM_FIRE_DUR,0.0058
OM_ROTN_DUR,0.0058
R-1_THR_HIST,0.0034
R-2_THR_HIST,0.0034
R-3_THR_HIST,0.0028
R-4_THR_HIST,0.0028
R-5_THR_HIST,0.0028
R-6_THR_HIST,0.0028
R-7_THR_HIST,0.0028
R-8_THR_HIST,0.0028
Y-1_THR_HIST,0.0034
Y-2_THR_HIST,0.0038
Y-3_THR_HIST,0.0038
Y-4_THR_HIST,0.0038
AUTO_FIRE_R1_STS,1.0
AUTO_FIRE_R2_STS,1.0
AUTO_FIRE_R3_STS,1.0
AUTO_FIRE_R4_STS,1.0
AUTO_FIRE_R5_STS,1.0
AUTO_FIRE_R6_STS,1.0
AUTO_FIRE_R7_STS,1.0
AUTO_FIRE_R8_STS,1.0
MANUAL_FIRE_R1_STS,1.0
MANUAL_FIRE_R2_STS,1.0
MANUAL_FIRE_R3_STS,1.0
MANUAL_FIRE_R4_STS,1.0
MANUAL_FIRE_R5_STS,1.0
MANUAL_FIRE_R6_STS,1.0
MANUAL_FIRE_R7_STS,1.0
MANUAL_FIRE_R8_STS,1.0
AUTO_FIRE_D1_STS,1.0
AUTO_FIRE_D2_STS,1.0
AUTO_FIRE_D3_STS,1.0
AUTO_FIRE_D4_STS,1.0
MANUAL_FIRE_D1_STS,1.0
MANUAL_FIRE_D2_STS,1.0
MANUAL_FIRE_D3_STS,1.0
MANUAL_FIRE_D4_STS,1.0
D-1_THR_HIST,0.0034
D-2_THR_HIST,0.0038
D-3_THR_HIST,0.0038
D-4_THR_HIST,0.0038
ORB_PERIOD_SEC,0.006
ORB_TIMER_SEC,0.0062
DAMP_TORQ_YAW,0.0026
DAMP_TORQ_ROL,0.0026
DTG_COMP_ANG_YAW,0.0
DTG_COMP_ANG_ROL,0.0
DTG_COMP_ANG_PCH,0.0
DTG-1_ROL_ACC_ANG,0.0038
DTG-1_PCH_ACC_ANG,0.0038
DTG-1_CMDD_DRC_ROL,0.0052
DTG-1_CMDD_DRC_PCH,0.0052
DTG-2_PCH_ACC_ANG,0.004
DTG-2_YAW_ACC_ANG,0.0034
DTG-2_CMDD_DRC_PCH,0.0052
DTG-2_CMDD_DRC_YAW,0.0052
DTG-3_YAW_ACC_ANG,0.0036
DTG-3_ROL_ACC_ANG,0.0038
DTG-3_CMDD_DRC_YAW,0.0052
DTG-3_CMDD_DRC_ROL,0.0052
MAG_REF_FIELD_YAW,0.0056
MAG_REF_FIELD_ROL,0.0056
MAG_REF_FIELD_PCH,0.0056
PROC_SS_QIB-1,0.0
PROC_SS_QIB-2,0.0
PROC_SS_QIB-3,0.0
PROC_SS_QIB-4,0.0
SS_UPDT_CNT,0.0008
LINK_WDT_TIMER,0.0062
CMDD_NSC_SPD,0.001
RW-1_SPD_AOCE,0.0002
RW-1_EST_SPD_AOCE,0.0014
RW-1_I/P_TORQ_AOCE,0.005
RW-1_DFC_TORQ_AOCE,0.0014
RW-1_NSC_SPD,0.0004
RW-2_SPD_AOCE,0.0002
RW-2_EST_SPD_AOCE,0.0018
RW-2_I/P_TORQ_AOCE,0.005
RW-2_DFC_TORQ_AOCE,0.0014
RW-2_NSC_SPD,0.001
RW-3_SPD_AOCE,0.0002
RW-3_EST_SPD_AOCE,0.0024
RW-3_I/P_TORQ_AOCE,0.005
RW-3_DFC_TORQ_AOCE,0.0014
RW-3_NSC_SPD,0.0018
RW-4_SPD_AOCE,0.0002
RW-4_EST_SPD_AOCE,0.0024
RW-4_I/P_TORQ_AOCE,0.005
RW-4_DFC_TORQ_AOCE,0.0014
RW-4_NSC_SPD,0.0
QIB-1_NS,0.0024
QIB-2_NS,0.0024
QIB-3_NS,0.005
DER_RATE_YAW_NS,0.0018
DER_RATE_ROL_NS,0.0018
DER_RATE_PCH_NS,0.0018
PROC_ERR_YAW_NS,0.003
PROC_ERR_ROL_NS,0.0034
PROC_ERR_PCH_NS,0.0036
PROC_ERR_RES_SEL_NS,1.0
PROC_SS_QIB-1_NS,0.005
PROC_SS_QIB-2_NS,0.0056
PROC_SS_QIB-3_NS,0.0056
SS-1_UPDT_CNT_NS,0.006
AOCE_MODE,1.0
CNTRL_REF_SEL,1.0
LAUNCH_PHASE_STS,1.0
LAUNCH_PHASE_OVER,1.0
SNAP-1_STS,1.0
SNAP-2_STS,1.0
DIRECT_ACQ_STS,0.0012
DIRECT_ACQ_FLAG,0.0046
AUTO_IAC_STS,1.0
AUTO_SEQ_EXE_STS,0.0002
AUTO_SACQ,1.0
AUTO_YAW_ROL_SACQ,1.0
AUTO_SEQ_LOGIC_STS,1.0
AUTO_SEQ_STS,1.0
SKF_STS,0.0062
DF_STS,0.0062
PWPFM_SEL,1.0
YAW_PWPFM,1.0
ROL_PWPFM,1.0
PCH_PWPFM,1.0
LC_RATE,1.0
MD_INHIBIT_FLAG,0.0002
DIST_TORQ_COMP_STS,1.0
SKF_DRIFT_UPD_STS,1.0
GYROCAL_FLAG,0.0062
GYROCAL_SEL,1.0
GYROCAL_SEQ_STS,1.0
SACQ_USING_DTG_STS,1.0
SNSR_SEL_FOR_YAW,1.0
DRAG_COMP,0.0044
SKF_DRIFT_ZERO_ON_MD_INH_STS,1.0
ARRAY_DAMP_STS,1.0
SPS_PROCESS_STS,1.0
ECL_STS,0.0048
P-1_SUN_SEARCH_STS,1.0
P-2_SUN_SEARCH_STS,1.0
REMD_STS,0.0004
RRD_STS,0.0004
RRD_AXIS_SEL,1.0
RRD_THR_FIRE_DUR,0.001
RRD_SEL_AXIS_RATE,0.0028
RRD_WNORM-1,0.0036
RRD_WNORM-2,0.0038
AUTO_DRAG_STS,1.0
REMD_BASED_RECOVERY,0.002
REMD_BASED_RATE_DUMP,0.002
RRD_RATE_DAMP_FLAG,0.0054
RRD_FAIL_FLAG,1.0
THR_BLK_FOR_RRD_CMD_STS,1.0
SKF_AUTO_DRIFT_UPDT_STS,1.0
ROL_INC_ANG_SEL,1.0
PCH_INC_ANG_SEL,1.0
YAW_ERR_FROM_RATES_STS,1.0
SEL_BMU_LOOP,1.0
HW_SYS_ID,1.0
SYS_ID,1.0
