Timestamp,Command,Details
25-JUN-2026 07:08:56.305,SEND,L1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:07:56.664,SEND,10 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:07:42.316,SEND,L1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:06:36.918,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:06:18.367,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:05:59.739,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:05:41.724,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:05:22.934,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:05:00.405,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:04:11.556,SEND,L1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:02:57.540,SEND,L1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:59:32.871,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:59:14.261,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:58:54.190,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:58:31.274,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:58:11.093,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 06:57:48.541,SEND,50 Commands UplinkedL1_TEST_CMD_SET_IN_OBC1
25-JUN-2026 07:31:09.302,SEND,MUX_LN-2_SEL_TO_GCRX-20
25-JUN-2026 07:30:18.027,SEND,MUX_LN-1_SEL_TO_GCRX-20
25-JUN-2026 07:30:05.995,SEND,LVDS_ENA_TO_GCRX-20_SCTX-20
25-JUN-2026 07:30:00.806,SEND,TTC_TX_R_ON
25-JUN-2026 07:29:52.744,SEND,S_BAND_TX-2_PRESEL_ON
25-JUN-2026 07:29:48.316,SEND,S_BAND_TX-1_PRESEL_OFF
25-JUN-2026 07:34:19.738,SEND,MUX_LN-1_SEL_TO_GCRX-20
25-JUN-2026 07:31:09.302,SEND,MUX_LN-2_SEL_TO_GCRX-20
25-JUN-2026 07:30:18.027,SEND,MUX_LN-1_SEL_TO_GCRX-20
25-JUN-2026 07:30:05.995,SEND,LVDS_ENA_TO_GCRX-20_SCTX-20
25-JUN-2026 07:30:00.806,SEND,TTC_TX_R_ON
25-JUN-2026 07:29:52.744,SEND,S_BAND_TX-2_PRESEL_ON
25-JUN-2026 07:29:48.316,SEND,S_BAND_TX-1_PRESEL_OFF
25-JUN-2026 07:34:19.738,SEND,MUX_LN-1_SEL_TO_GCRX-20
25-JUN-2026 07:31:09.302,SEND,MUX_LN-2_SEL_TO_GCRX-20
25-JUN-2026 07:30:18.027,SEND,MUX_LN-1_SEL_TO_GCRX-20
25-JUN-2026 07:30:05.995,SEND,LVDS_ENA_TO_GCRX-20_SCTX-20
25-JUN-2026 07:30:00.806,SEND,TTC_TX_R_ON
25-JUN-2026 07:29:52.744,SEND,S_BAND_TX-2_PRESEL_ON
25-JUN-2026 07:29:48.316,SEND,S_BAND_TX-1_PRESEL_OFF
